Datetime,MAE,P.Waterlevel,P.Waterlevel-1,P.Waterlevel-2,P.Waterlevel-3,T.Waterlevel,T.Waterlevel-1,T.Waterlevel-2,T.Waterlevel-3
2012-03-30 12:00-00,0.27205833512377536,15.785047167964855,12.20474040413368,12.20746731605613,21.145196570227032,15.843916666666667,12.012583333333332,12.012583333333332,21.689333333333334
2012-03-30 18:00-00,0.272420549,15.784908514756914,12.203531462452071,12.206267981232854,21.14430687379378,15.8435,12.01325,12.01325,21.687583333333333
2012-03-31 00:00-00,0.2728367271365373,15.784807054810654,12.202177043748867,12.204893680009476,21.14322955577141,15.843,12.014,12.014,21.68616666666667
2012-03-31 06:00-00,0.27325672506466997,15.78470248498084,12.200768327266942,12.20346516334853,21.142110668461893,15.8425,12.012666666666666,12.012666666666666,21.684916666666666
2012-03-31 12:00-00,0.2737603745876004,15.784495240379206,12.199938087618495,12.202672176263146,21.14159115259193,15.842,12.010416666666666,12.010416666666666,21.683833333333332
2012-03-31 18:00-00,0.2743549490952107,15.784505183629886,12.198903155664604,12.201611799676472,21.14073231534281,15.841416666666667,12.008000000000001,12.008000000000001,21.682833333333335
2012-04-01 00:00-00,0.27499661832716843,15.784605156682103,12.197752524458389,12.200426487278257,21.139749142860214,15.841000000000001,12.005583333333332,12.005583333333332,21.68183333333333
2012-04-01 06:00-00,0.27565089864766346,15.784694180858713,12.196641159282265,12.199284344969293,21.13880689071842,15.838416666666667,12.003083333333333,12.003083333333333,21.680833333333332
2012-04-01 12:00-00,0.27630447315634415,15.784604637385737,12.196043808974547,12.198723393075287,21.138452075936883,15.836333333333334,12.000833333333333,12.000833333333333,21.679833333333338
2012-04-01 18:00-00,0.2769929621509203,15.78473102313631,12.194885046987363,12.19751912422235,21.137428723892505,15.835916666666666,11.998333333333333,11.998333333333333,21.678749999999997
2012-04-02 00:00-00,0.27775724515361383,15.784792013263154,12.194045815876052,12.196642150786166,21.13668020845415,15.835583333333334,11.995992424242424,11.995992424242424,21.677666666666667
2012-04-02 06:00-00,0.27857055628619065,15.784896572803222,12.193073544786154,12.195603879645303,21.135744133210682,15.835333333333333,11.994325757575757,11.994325757575757,21.67666666666667
2012-04-02 12:00-00,0.2793828423565818,15.784968132478106,12.192413568517296,12.19491193027798,21.13514023078572,15.835,11.991992424242424,11.991992424242424,21.675583333333336
2012-04-02 18:00-00,0.28014747632330456,15.785095348726935,12.191391687936715,12.193836397257366,21.134183122815074,15.834750000000001,11.989492424242425,11.989492424242425,21.674500000000002
2012-04-03 00:00-00,0.2809110382068834,15.785075829190255,12.190677640993881,12.193110651947485,21.13360261004371,15.834416666666666,11.986992424242425,11.986992424242425,21.673416666666665
2012-04-03 06:00-00,0.2816974759240701,15.784943369643225,12.190078149569693,12.192520393707257,21.13318779484397,15.834083333333334,11.984742424242425,11.984742424242425,21.672333333333334
2012-04-03 12:00-00,0.2824732731714208,15.784916183936993,12.189220707938006,12.191654360917806,21.13250629931468,15.83375,11.982159090909091,11.982159090909091,21.671333333333333
2012-04-03 18:00-00,0.2831791312528932,15.78493020465143,12.188238387074232,12.190677706717114,21.13176032894227,15.830166666666665,11.979325757575758,11.979325757575758,21.669500000000003
2012-04-04 00:00-00,0.2838589797863829,15.784863474038072,12.187161717331414,12.189608356747705,21.130960057203836,15.829749999999999,11.976242424242425,11.976242424242425,21.6685
2012-04-04 06:00-00,0.2845593855264968,15.784766067189713,12.186196936498918,12.188672766761188,21.13031294240524,15.829333333333334,11.97315909090909,11.97315909090909,21.6675
2012-04-04 12:00-00,0.28530689680124294,15.784742132787324,12.185158120858047,12.187643567623939,21.129543700750737,15.827333333333335,11.970049715909092,11.970049715909092,21.666083333333333
2012-04-04 18:00-00,0.2860746070762952,15.784748560347943,12.184277291663163,12.186784885179554,21.128926520985786,15.823916666666667,11.966909090909091,11.966909090909091,21.662750000000003
2012-04-05 00:00-00,0.2868619665821767,15.78467547268029,12.183676830840614,12.186216867028634,21.128566475638394,15.822083333333333,11.963825757575759,11.963825757575759,21.66016666666667
