Station,Year,Month,Day,Hour,Waterlevel,Station.1,Year.1,Month.1,Day.1,Hour.1,Waterlevel.1,Waterlevel.2,Station.2,Year.2,Month.2,Day.2,Hour.2,Waterlevel.3,Date_Time,RF-Station,RF-Intensity,RF-Intensity.1,RF-Station.1,RF-Intensity.2,RF-Intensity.3,Humidity,Precipitation,Temperature,Temperature.1,Humidity.1,Precipitation.1,Temperature.2,Humidity.2,Precipitation.2
Nangka,2023,12,1,22,15.93,Sto Nino,2023,12,1,22,11.74,11.74,Montalban,2023,12,1,22,21.56,2023-12-01 22:00:00,Nangka,0.0,0.0,Mt. Oro,1.0,1.0,18.24081736376197,0.0,28.0,28.0,18.24081736376197,0.0,28.0,18.24081736376197,0.0
Nangka,2023,12,1,23,15.93,Sto Nino,2023,12,1,23,11.76,11.76,Montalban,2023,12,1,23,21.56,2023-12-01 23:00:00,Nangka,0.0,0.0,Mt. Oro,0.0,0.0,19.286538263281873,1.0,27.0,27.0,19.286538263281873,1.0,27.0,19.286538263281873,1.0
Nangka,2023,12,2,0,15.93,Sto Nino,2023,12,2,0,11.78,11.78,Montalban,2023,12,2,0,21.56,2023-12-02 00:00:00,Nangka,0.0,0.0,Mt. Oro,1.0,1.0,18.14816346627618,1.0,27.7,27.7,18.14816346627618,1.0,27.7,18.14816346627618,1.0
Nangka,2023,12,2,1,15.93,Sto Nino,2023,12,2,1,11.75,11.75,Montalban,2023,12,2,1,21.56,2023-12-02 01:00:00,Nangka,0.0,0.0,Mt. Oro,0.0,0.0,18.03772164455154,2.0,27.4,27.4,18.03772164455154,2.0,27.4,18.03772164455154,2.0
Nangka,2023,12,2,2,15.93,Sto Nino,2023,12,2,2,11.77,11.77,Montalban,2023,12,2,2,21.56,2023-12-02 02:00:00,Nangka,0.0,0.0,Mt. Oro,0.0,0.0,18.747896131963753,1.0,25.3,25.3,18.747896131963753,1.0,25.3,18.747896131963753,1.0
Nangka,2023,12,2,3,15.93,Sto Nino,2023,12,2,3,11.76,11.76,Montalban,2023,12,2,3,21.56,2023-12-02 03:00:00,Nangka,0.0,0.0,Mt. Oro,0.0,0.0,18.166475399714223,0.75,27.0,27.0,18.166475399714223,0.75,27.0,18.166475399714223,0.75
Nangka,2023,12,2,4,15.93,Sto Nino,2023,12,2,4,11.76,11.76,Montalban,2023,12,2,4,21.56,2023-12-02 04:00:00,Nangka,0.0,0.0,Mt. Oro,0.0,0.0,18.389389613699596,0.25,26.8,26.8,18.389389613699596,0.25,26.8,18.389389613699596,0.25
Nangka,2023,12,2,5,15.93,Sto Nino,2023,12,2,5,11.74,11.74,Montalban,2023,12,2,5,21.56,2023-12-02 05:00:00,Nangka,0.0,0.0,Mt. Oro,0.0,0.0,17.106519523836905,0.0,24.5,24.5,17.106519523836905,0.0,24.5,17.106519523836905,0.0
Nangka,2023,12,2,6,15.93,Sto Nino,2023,12,2,6,11.72,11.72,Montalban,2023,12,2,6,21.56,2023-12-02 06:00:00,Nangka,0.0,0.0,Mt. Oro,0.0,0.0,18.37085049952466,0.0,27.5,27.5,18.37085049952466,0.0,27.5,18.37085049952466,0.0
Nangka,2023,12,2,7,15.93,Sto Nino,2023,12,2,7,11.68,11.68,Montalban,2023,12,2,7,21.56,2023-12-02 07:00:00,Nangka,0.0,0.0,Mt. Oro,0.0,0.0,18.37085049952466,0.0,28.3,28.3,18.37085049952466,0.0,28.3,18.37085049952466,0.0
